Title,Subtitle,Series,Author,"Author (Last, First)",Year Published,Genre,Number of Pages,Tags
Existentialism is a Humanism,,,Jean-Paul Sartre,"Sartre, Jean-Paul",2007,Philosophy,128,
Fair Rebel,,,Steph Swainston,"Swainston, Steph",2016,Fiction,336,New Weird
Fathoms,The World in the Whale,,Rebecca Giggs,"Giggs, Rebecca",2020,Nature,352,
Fiasco,The American Military Adventure in Iraq,,Thomas E. Ricks,"Ricks, Thomas E.",2006,History,482,
Fight Club: A Novel,,,Chuck Palahniuk,"Palahniuk, Chuck",2005,Fiction,218,
Flour Water Salt Yeast,The Fundamentals of Artisan Bread and Pizza [A Cookbook],,Ken Forkish,"Forkish, Ken",2012,Cooking,272,
Fool the World,The Oral History of a Band Called Pixies,,"Josh Frank,Caryn Ganz","Frank, Josh",2006,Biography & Autobiography,316,Rock and Roll
"Free Soil, Free Labor, Free Men",The Ideology of the Republican Party Before the Civil War: With a New Introductory Essay,,Eric Foner,"Foner, Eric",1995,History,353,
Freedom from Fear,"The American People in Depression and War, 1929-1945",,David M. Kennedy,"Kennedy, David M.",1999,History,936,
From Time to Time,A Novel,,Jack Finney,"Finney, Jack",1995,Fiction,303,
Gene Roddenberry,"The Myth and the Man Behind ""Star Trek""",,Joel Engel,"Engel, Joel",1994,Biography & Autobiography,304,
Gentleman's Guide to Toasting,,,Dave Fulmer,"Fulmer, Dave",1990,Cooking,79,
Girl in a Band,A Memoir,,Kim Gordon,"Gordon, Kim",2015,Biography & Autobiography,288,Rock and Roll
Girls to the Front,The True Story of the Riot Grrrl Revolution,,Sara Marcus,"Marcus, Sara",2010,Music,384,Rock and Roll
Gorillaz Almanac,,,Gorillaz,Gorillaz,2020,Comics & Graphic Novels,288,
Grand Expectations,"The United States, 1945-1974",,James T. Patterson,"Patterson, James T.",1996,History,829,
Grrrls,Viva Rock Divas,,Amy Raphael,"Raphael, Amy",1996,Biography & Autobiography,240,Rock and Roll
Harlan Ellison's The City on the Edge of Forever,The Original Teleplay that Became the Classic Star Trek Episode,,"Harlan Ellison,David Tipton,Scott Tipton","Ellison, Harlan",1996,Drama,276,
Heavier Than Heaven,A Biography of Kurt Cobain,,Charles R. Cross,"Cross, Charles R.",2001,Biography & Autobiography,381,Rock and Roll
High Fidelity,,,Nick Hornby,"Hornby, Nick",1995,Fiction,323,Rock and Roll
History of the Russian Revolution,,,Leon Trotsky,"Trotsky, Leon",2008,History,1040,
House of Leaves,The Remastered Full-Color Edition,,Mark Z. Danielewski,"Danielewski, Mark Z.",2000,Fiction,736,New Weird
How Baking Works,Exploring the Fundamentals of Baking Science,,Paula I. Figoni,"Figoni, Paula I.",2010,Cooking,528,
How Music Works,,,David Byrne,"Byrne, David",2012,Music,345,Rock and Roll
How to Cook Everything Fast,A Better Way to Cook Great Food,,Mark Bittman,"Bittman, Mark",2014,Cooking,1056,
How to Cook Everything Vegetarian,Simple Meatless Recipes for Great Food,,Mark Bittman,"Bittman, Mark",2007,Cooking,1008,
Hudson Modern,Residential Landscapes,,David Sokol,"Sokol, David",2018,Architecture,262,
Humane,How the United States Abandoned Peace and Reinvented War,,Samuel Moyn,"Moyn, Samuel",2021,Political Science,416,
Humanitarian Imperialism,Using Human Rights to Sell War,,Jean Bricmont,"Bricmont, Jean",2006,Law,192,
Hunger Makes Me a Modern Girl,A Memoir,,Carrie Brownstein,"Brownstein, Carrie",2015,Biography & Autobiography,244,Rock and Roll
Hyperion,,,Dan Simmons,"Simmons, Dan",2017,Fiction,496,
Identity Crisis,The 2016 Presidential Campaign and the Battle for the Meaning of America,,"John Sides,Lynn Vavreck,Michael Tesler","Sides, John",2018,History,333,
Infomocracy,Book One of the Centenal Cycle,,Malka Older,"Older, Malka",2017,Fiction,400,
Invisible Cities,,,Italo Calvino,"Calvino, Italo",1978,Fiction,165,
Iron Council,,,China Miéville,"Miéville, China",2004,Fiction,564,New Weird
Ishmael,,,Daniel Quinn,"Quinn, Daniel",1992,Fiction,266,
Jesus and Yahweh,The Names Divine,,Harold Bloom,"Bloom, Harold",2007,Philosophy,238,
Jonathan Strange & Mr Norrell,A Novel,,Susanna Clarke,"Clarke, Susanna",2004,Fiction,782,
Journals,,,Kurt Cobain,"Cobain, Kurt",2003,Biography & Autobiography,304,Rock and Roll
Kick Out the Jams,"Jibes, Barbs, Tributes, and Rallying Cries from 35 Years of Music Writing",,Dave Marsh,"Marsh, Dave",2023,Music,336,Rock and Roll
Kill Switch,The Rise of the Modern Senate and the Crippling of American Democracy,,Adam Jentleson,"Jentleson, Adam",2021,Political Science,272,
Kind Of Blue,The Making Of The Miles Davis Masterpiece,,Ashley Kahn,"Kahn, Ashley",2000,Music,224,
Kindred,"Neanderthal Life, Love, Death and Art",,Rebecca Wragg Sykes,"Sykes, Rebecca Wragg",2020,Science,400,
King Rat,,,China Miéville,"Miéville, China",2023,Fiction,320,
King: A Life,,,Jonathan Eig,"Eig, Jonathan",2023,Biography & Autobiography,688,
Koresh,The True Story of David Koresh and the Tragedy at Waco,,Stephan Talty,"Talty, Stephan",2023,Biography & Autobiography,464,
Kraken,An Anatomy,,China Miéville,"Miéville, China",2010,Fiction,509,
Kurt Cobain,The Nirvana Years,,Carrie Borzillo,"Borzillo, Carrie",2013,Art,191,Rock and Roll
Laying Down the Sword,Why We Can't Ignore the Bible's Violent Verses,,Philip Jenkins,"Jenkins, Philip",2011,Religion,320,
Led Zeppelin,The Biography,,Bob Spitz,"Spitz, Bob",2021,Biography & Autobiography,688,Rock and Roll
Lemon Jail,On the Road with the Replacements,,Bill Sullivan,"Sullivan, Bill",2018,Biography & Autobiography,147,Rock and Roll
Let it Blurt,"The Life and Times of Lester Bangs, America's Greatest Rock Critic",,Jim DeRogatis,"DeRogatis, Jim",2000,Biography & Autobiography,352,Rock and Roll
Life,,,Keith Richards,"Richards, Keith",2010,Biography & Autobiography,564,Rock and Roll
Lightning Striking,Ten Transformative Moments in Rock and Roll,,Lenny Kaye,"Kaye, Lenny",2022,Biography & Autobiography,496,Rock and Roll
Lila,An Inquiry Into Morals,,Robert M. Pirsig,"Pirsig, Robert M.",1991,Fiction,409,
Lincoln at Gettysburg,The Words that Remade America,,Garry Wills,"Wills, Garry",1992,History,317,
Lipstick Traces,A Secret History of the Twentieth Century,,Greil Marcus,"Marcus, Greil",1990,Art,496,Rock and Roll
"Little, Big",,,John Crowley,"Crowley, John",2002,Fiction,538,
Making Movies,,,Sidney Lumet,"Lumet, Sidney",1996,Performing Arts,240,
Mark Rothko,From the Inside Out,,Christopher Rothko,"Rothko, Christopher",2015,Art,302,
Mason & Dixon,A Novel,,Thomas Pynchon,"Pynchon, Thomas",1998,Fiction,784,
Meditations,The Annotated Edition,,Marcus Aurelius,"Aurelius, Marcus",2021,History,325,
Memoranda,,,Jeffrey Ford,"Ford, Jeffrey",1999,Fiction,240,New Weird
Metaphors We Live By,,,"George Lakoff,Mark Johnson","Lakoff, George",2003,Language Arts & Disciplines,292,
Midnight in the Garden of Good and Evil,,,John Berendt,"Berendt, John",1994,True Crime,416,
Milk It,Collected Musings on the Alternative Music Explosion of the '90s,,Jim DeRogatis,"DeRogatis, Jim",2003,Music,432,Rock and Roll
Mona Lisa Overdrive,,,William Gibson,"Gibson, William",1988,Fiction,260,
Moral Origins,"The Evolution of Virtue, Altruism, and Shame",,Christopher Boehm,"Boehm, Christopher",2012,Science,432,
Mortal Questions : Canto,,,Thomas Nagel,"Nagel, Thomas",1991,Philosophy,213,
Mystery Train,Images of America in Rock 'n' Roll Music: Sixth Edition,,Greil Marcus,"Marcus, Greil",2015,Music,448,Rock and Roll
Neuromancer,,,William Gibson,"Gibson, William",2004,Fiction,371,
Night Beat,A Shadow History of Rock & Roll,,Mikal Gilmore,"Gilmore, Mikal",1998,Biography & Autobiography,461,
Nina Simone's Gum,A Memoir of Things Lost and Found,,Warren Ellis,"Ellis, Warren",2022,Biography & Autobiography,224,
Nine Stories,,,J.D. Salinger,"Salinger, J.D.",1953,Fiction,302,
Nirvana,In the Words of the People Who Were There,,Carrie Borzillo,"Borzillo, Carrie",2014,Art,232,Rock and Roll
Nirvana,The Teen Spirit of Rock,,"Chuck Crisafulli,Gillian G. Gaar","Crisafulli, Chuck",2017,Biography & Autobiography,192,Rock and Roll
Nirvana's In Utero,,,Gillian G. Gaar,"Gaar, Gillian G.",2006,Music,105,
No Present Like Time,,,Steph Swainston,"Swainston, Steph",2005,Immortalism,317,
On Quality,An Inquiry Into Excellence: Unpublished and Selected Writings,,Robert M. Pirsig,"Pirsig, Robert M.",2022,Literary Collections,192,
One Chord Wonders,Power and Meaning in Punk Rock,,Dave Laing,"Laing, Dave",2015,Music,213,Rock and Roll
Our Band Could be Your Life,"Scenes from the American Indie Underground, 1981-1991",,Michael Azerrad,"Azerrad, Michael",2001,Music,522,Rock and Roll
Perdido Street Station,,,China Miéville,"Miéville, China",2001,Fiction,752,
"Peter, Paul, and Mary Magdalene",The Followers of Jesus in History and Legend,,Bart D Ehrman,"Ehrman, Bart D",2008,History,285,
Phil Gordon's Little Blue Book,More Lessons and Hand Analysis in No Limit Texas Hold'em,,Phil Gordon,"Gordon, Phil",2006,Reference,416,
Phil Gordon's Little Green Book,Lessons and Teachings in No Limit Texas Hold'em,,Phil Gordon,"Gordon, Phil",2005,Games & Activities,320,
Piranesi,,,Susanna Clarke,"Clarke, Susanna",,,245,
Please Kill Me,The Uncensored Oral History of Punk,,"Legs McNeil,Gillian McCain","McNeil, Legs",2016,Biography & Autobiography,476,
Popcorn,Fifty Years of Rock 'n' Roll Movies,,Garry Mulholland,"Mulholland, Garry",2010,Music,430,
Punk Productions,Unfinished Business,,Stacy Thompson,"Thompson, Stacy",2004,Social Science,215,
Railsea,,,China Miéville,"Miéville, China",2012,Fiction,424,
Ranters & Crowd Pleasers,"Punk in Pop Music, 1977-92",,Greil Marcus,"Marcus, Greil",1993,Music,438,Rock and Roll
RASL,,,Jeff Smith,"Smith, Jeff",2013,Comics & Graphic Novels,468,
Reading Dewey,Interpretations for a Postmodern Generation,,Larry A. Hickman,"Hickman, Larry A.",1998,Education,271,
Real Life Rock,"The Complete Top Ten Columns, 1986-2014",,Greil Marcus,"Marcus, Greil",2015,Literary Collections,586,Rock and Roll
Rebels on the Air,An Alternative History of Radio in America,,Jesse Walker,"Walker, Jesse",2001,History,326,Rock and Roll
Reconstruction Updated Edition,"America's Unfinished Revolution, 1863-1877",,Eric Foner,"Foner, Eric",2014,History,752,
Redshirts,A Novel with Three Codas,,John Scalzi,"Scalzi, John",2012,Fiction,317,
Reign of Terror,How the 9/11 Era Destabilized America and Produced Trump,,Spencer Ackerman,"Ackerman, Spencer",2021,Political Science,448,
Restless Giant,The United States from Watergate to Bush V. Gore,,James T. Patterson,"Patterson, James T.",2005,History,448,
Ribofunk,,,Paul Di Filippo,"Filippo, Paul Di",1996,Fiction,295,
Rock and the Pop Narcotic,Testament for the Electric Church,,Joe Carducci,"Carducci, Joe",1994,Music,529,Rock and Roll
Rock Lives,Profiles and Interviews,,Timothy White,"White, Timothy",1991,Music,832,Rock and Roll
Rock on Film,The Movies That Rocked the Big Screen,,Fred Goodman,"Goodman, Fred",2022,Music,288,Rock and Roll
Rosencrantz & Guildenstern are Dead,,,Tom Stoppard,"Stoppard, Tom",2017,Drama,117,
Rothko,,,Jacob Baal-Teshuva,"Baal-Teshuva, Jacob",2015,Art,96,
Rotten,"No Irish, No Blacks, No Dogs",,"John Lydon,Keith Zimmerman,Kent Zimmerman","Lydon, John",1995,Biography & Autobiography,329,Rock and Roll
Route 666,On the Road to Nirvana,,Gina Arnold,"Arnold, Gina",1993,Music,228,Rock and Roll
Rubicon,The Last Years of the Roman Republic,,Tom Holland,"Holland, Tom",2003,History,408,
Rules for Radicals,A Pragmatic Primer for Realistic Radicals,,Saul Alinsky,"Alinsky, Saul",1989,Political Science,224,
S.P.Q.R.,A History of Ancient Rome,,Mary Beard,"Beard, Mary",2015,History,606,
Salvador Dali,,,"Robert Descharnes,Nicolas Descharnes","Descharnes, Robert",1993,,383,
Sapiens,A Brief History of Humankind,,Yuval Noah Harari,"Harari, Yuval Noah",2015,Science,464,
See a little light,the trail of rage and melody,,Bob Mould,"Mould, Bob",2011,Rock musicians,403,Rock and Roll
Seeing the Light,Inside the Velvet Underground,,Rob Jovanovic,"Jovanovic, Rob",2012,Biography & Autobiography,294,Rock and Roll
Serendipitea,"A Guide To The Varieties, Origins, And Rituals Of Tea",,Tomislav Podreka,"Podreka, Tomislav",1998,Cooking,208,
Serving the Servant,Remembering Kurt Cobain,,Danny Goldberg,"Goldberg, Danny",2019,Biography & Autobiography,304,Rock and Roll
Six Easy Pieces,Essentials Of Physics By Its Most Brilliant Teacher,,Richard P. Feynman,"Feynman, Richard P.",1996,Science,176,
Six Not-So-Easy Pieces,,,Richard P. Feynman,"Feynman, Richard P.",1998,Science,192,
Slaughterhouse-Five,A Novel,,Kurt Vonnegut,"Vonnegut, Kurt",1999,Fiction,288,
Snow Crash,Deluxe Edition,,Neal Stephenson,"Stephenson, Neal",2022,Fiction,576,
Songbook,,,Nick Hornby,"Hornby, Nick",2002,Music,147,Rock and Roll
Space is the Place,The Lives and Times of Sun Ra,,John F. Szwed,"Szwed, John F.",1997,Biography & Autobiography,476,
Spacecraft,,,Timothy Morton,"Morton, Timothy",2021,Literary Criticism,144,
Star Trek Adventures,The Roleplaying Game : Core Rulebook,,"Dave Chapman,Modiphius Entertainment","Chapman, Dave",2017,Games & Activities,364,
Star Trek: Deep Space 9 & The U.S.S Defiant Illustrated Handbook,,,Simon Hugo,"Hugo, Simon",2021,Performing Arts,192,
Star Wars: Millennium Falcon,Owners' Workshop Manual,,Ryder Windham,"Windham, Ryder",2018,Performing Arts,124,
Staring at Sound: The True Story of Oklahoma's Fabulous Flaming Lips,,,Jim DeRogatis,"DeRogatis, Jim",2006,Music,272,Rock and Roll
Station Eleven,,,Emily St. John Mandel,"Mandel, Emily St. John",2014,Fiction,352,
Steampunk,,,"Ann VanderMeer,Jeff VanderMeer","VanderMeer, Ann",2008,Fiction,373,
Steampunk II,Steampunk Reloaded,,"Ann VanderMeer,Jeff VanderMeer","VanderMeer, Ann",2010,Fiction,426,
Stiffed,The Betrayal of the American Man,,Susan Faludi,"Faludi, Susan",1999,Social Science,672,
Stoner,,,John Williams,"Williams, John",2006,Fiction,288,
Stories of Your Life and Others,,,Ted Chiang,"Chiang, Ted",2016,Fiction,304,
Subculture,The Meaning of Style,,Dick Hebdige,"Hebdige, Dick",1991,Art,195,
Sweet Taste of Liberty,A True Story of Slavery and Restitution in America,,W. Caleb McDaniel,"McDaniel, W. Caleb",2019,"Slaves, united states",340,
Tattoo history,a source book : an anthology of historical records of tattooing throughout the world,,Steve Gilbert,"Gilbert, Steve",2000,History,216,
Tell Me Why,"The Beatles: Album By Album, Song By Song, The Sixties And After",,Tim Riley,"Riley, Tim",2002,Music,457,
That Cheese Plate Will Change Your Life,Creative Gatherings and Self-Care with the Cheese By Numbers Method,,Marissa Mullen,"Mullen, Marissa",2020,Cooking,304,
The Age of Acrimony,"How Americans Fought to Fix Their Democracy, 1865-1915",,Jon Grinspan,"Grinspan, Jon",2021,History,384,
The American Senate,An Insider's History,,"Neil MacNeil,Richard A. Baker","MacNeil, Neil",2013,History,455,
The Amplified Come As You Are,The Story of Nirvana,,Michael Azerrad,"Azerrad, Michael",2023,Biography & Autobiography,624,Rock and Roll
The Anthology At The End Of The Universe,Leading Science Fiction Authors On Douglas Adams' The Hitchhiker's Guide To The Galaxy,,Glenn Yeffeth,"Yeffeth, Glenn",2005,Literary Criticism,208,
The Beatles,The Biography,,Bob Spitz,"Spitz, Bob",2005,Biography & Autobiography,983,
The Bell Jar,,,Sylvia Plath,"Plath, Sylvia",2005,Fiction,288,
The Bone Clocks,A Novel,,David Stephen Mitchell,"Mitchell, David Stephen",2014,Fiction,624,
The Border Trilogy,"All the Pretty Horses, The Crossing, Cities of the Plain",,Cormac McCarthy,"McCarthy, Cormac",1999,Fiction,1040,
The Bread Bible,,,Rose Levy Beranbaum,"Beranbaum, Rose Levy",2003,Cooking,640,
The Brooklyn Follies,A Novel,,Paul Auster,"Auster, Paul",2006,Fiction,306,
The Castle,A New Translation Based on the Restored Text,,Franz Kafka,"Kafka, Franz",1998,Fiction,352,
The City & The City,,,China Miéville,"Miéville, China",2009,Fiction,312,
The Complete Magnolia Bakery Cookbook,Recipes from the World-Famous Bakery and Allysa Torey's Home Kitchen,,"Jennifer Appel,Allysa Torey","Appel, Jennifer",2009,Cooking,240,
The Complete Maus,A Survivor's Tale,,Art Spiegelman,"Spiegelman, Art",1996,Comics & Graphic Novels,296,
The Complete Stories,,,Flannery O'Connor,"O'Connor, Flannery",1971,Fiction,555,
The Course of the Heart,,,M. John Harrison,"Harrison, M. John",2005,Fiction,181,
The Crying of Lot 49,,,Thomas Pynchon,"Pynchon, Thomas",1966,Fiction,160,
The Curious Incident of the Dog in the Night-Time,,,Mark Haddon,"Haddon, Mark",2004,Fiction,240,
The Dark Forest,,,Cixin Liu,"Liu, Cixin",2015,Fiction,512,
The Dawn of Everything,A New History of Humanity,,"David Graeber,David Wengrow","Graeber, David",2021,History,692,
The Devil in the White City,"Murder, Magic, and Madness at the Fair That Changed America",,Erik Larson,"Larson, Erik",2003,History,464,
The Dispossessed,,,Ursula K. Le Guin,"Guin, Ursula K. Le",1994,Fiction,400,
The Elegant Universe,"Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",,"Brian Greene,Greene Brian","Greene, Brian",1999,Science,448,
The Etched City,A Novel,,K.J. Bishop,"Bishop, K.J.",2004,Fiction,400,
The Eternal Frontier,An Ecological History of North America and Its Peoples,,Tim Fridtjof Flannery,"Flannery, Tim Fridtjof",2001,History,404,
The Eye of the World,Book One of The Wheel of Time,,Robert Jordan,"Jordan, Robert",2020,Fiction,784,
The Fall of Hyperion,,,Dan Simmons,"Simmons, Dan",1990,Fiction,528,
The Fifth Season,,,N. K. Jemisin,"Jemisin, N. K.",2015,Fiction,512,
The First Man,,,Albert Camus,"Camus, Albert",1996,Fiction,336,
The Flavor Bible,"The Essential Guide to Culinary Creativity, Based on the Wisdom of America's Most Imaginative Chefs",,"Karen Page,Andrew Dornenburg","Page, Karen",2008,Cooking,392,
The Grapes of Wrath,,,John Steinbeck,"Steinbeck, John",1999,Fiction,455,
The hero with a thousand faces,,,Joseph Campbell,"Campbell, Joseph",1972,Mythology,416,
The History of Rock 'n' Roll in Ten Songs,,,Greil Marcus,"Marcus, Greil",2014,Music,307,Rock and Roll
The Humorless Ladies of Border Control,Touring the Punk Underground from Belgrade to Ulaanbaatar,,Franz Nicolay,"Nicolay, Franz",2016,Biography & Autobiography,371,
The Ideological Origins of the American Revolution,,,Bernard Bailyn,"Bailyn, Bernard",1992,History,396,
The Illustrated a Brief History of Time and the Universe in a Nutshell,,,Stephen Hawking,"Hawking, Stephen",2007,Quantum theory,464,
The Illustrated Gormenghast Trilogy,,,Mervyn Peake,"Peake, Mervyn",2011,Fiction,960,
The King Arthur Baking Company Essential Cookie Companion,,,King Arthur Baking Company,"Company, King Arthur Baking",2021,Cooking,544,
The King Arthur Flour All-Purpose Baker's Companion (Revised and Updated),,,King Arthur Flour,"Flour, King Arthur",2021,Cooking,640,
The Landmark Herodotus,The Histories,,Herodotus,Herodotus,2009,History,1024,
The Last Days of New Paris,A Novel,,China Miéville,"Miéville, China",2018,Fiction,224,
The Last of the Mohicans,,,James Fenimore Cooper,"Cooper, James Fenimore",1953,Juvenile Fiction,423,
The Life and Legend of Leadbelly,,,"Charles K. Wolfe,Kip Lornell","Wolfe, Charles K.",1992,Biography & Autobiography,333,
The Lord of the Rings,Being the first part of The lord of the rings,,John Ronald Reuel Tolkien,"Tolkien, John Ronald Reuel",1967,The Lord of the Rings,423,
The Man in the High Castle,,,Philip K. Dick,"Dick, Philip K.",1992,Fiction,259,
The Meaning of Star Trek,,,Thomas Richards,"Richards, Thomas",1997,Literary Criticism,194,
The Modern World,,,Steph Swainston,"Swainston, Steph",2007,War stories,325,
The Mojo Collection,The Ultimate Music Companion,,Jim Irvin,"Irvin, Jim",2000,Reviews,914,
